"postId","sum(bd.faceNum)"
"dudu1899","20863"
"gj-peter","13109"
"迟到千年@","10020"
"jasonflysky","9474"
"reservoir","9236"
"晴天有时下猪","9006"
"darkhorse","8768"
"qing83221","7708"
"dream008","7601"
"vivitao","7525"
"栗子～","7204"
"luohuayixiao","6802"
"yupjessie","6127"
"vanlein","6020"
"一万英尺的天边","5837"
"嘻哈球狂","5360"
"steng","4941"
"dear_carol","4875"
"tilx","4726"
"commetoi","4635"
"婉晚","4623"
"rosalineluo","4447"
"kouhoutei","4239"
"妖精七七","4087"
"City-Hunter","4003"
"huan...","3915"
"challenge2210","3810"
"ggrrxx","3675"
"crazycat04","3635"
"CherryCola","3505"
"hide的魂","3493"
"flameworld","3390"
"robertzai","3352"
"虫一样的疯子","3299"
"heijianc","3237"
"我爹","3077"
"感觉刹那","2920"
"cheng7777","2899"
"txp139","2880"
"MichaelHsu170","2877"
"Scolumyale","2861"
"180987209","2850"
"icenote","2820"
"假面天使","2795"
"ouchgraham","2653"
"麦兜^@^","2640"
"QQ多","2634"
"玉笛","2624"
"超龄儿童","2617"
"Cutely","2578"
"空间几何","2492"
"kittywww","2437"
"无敌神猫","2434"
"本杰明","2417"
"ronnie21","2345"
"迷糊猫咪","2306"
"歌德","2278"
"Rachel♀MINT","2229"
"missingl","2195"
"平衡线","2155"
"吉赛雅","2149"
"訫ポ不㊣","2104"
"创意","2039"
"我是大饼脸","2034"
"小壞丁丁","2004"
"weal_blue","2000"
"猫妈妈","1980"
"注册不成功","1926"
"魔由心生","1862"
"DrunkCappuccino","1840"
"seaprincess9","1823"
"la_la","1822"
"诺诺小姐姐","1796"
"罐装de心情","1779"
"咖啡加胡椒","1692"
"watermelon1750","1676"
"coffeegao","1650"
"思啸","1622"
"我系阿童木","1571"
"无语fly","1566"
"九月高跟鞋","1564"
"midorisplice","1532"
"sparkdido","1475"
"拉风ing","1439"
"在身.","1430"
"李敖有话说","1410"
"U.K.","1406"
"flytouk","1393"
"justfadeaway","1385"
"转世轮回","1332"
"ch2j2","1329"
"GentlePig","1316"
"疯一样的女子！","1309"
"冒冒芒果","1307"
"木叶下莺","1299"
"ss!w","1297"
"一个人的圣经","1272"
"TracyR","1254"
"ヾ焍⒏爅爝尐","1234"
"天下第二穷","1226"

