what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1259567992000
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1259567992000
java.vm.version,sysinfo,,,"14.2-b01",1259567992000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259567992031
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1259567992093
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1259567992140
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1259567992250
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1259567992312
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1259567992343
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1259567992546
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1259567992843
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1259567992921
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1259567993031
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1259567993078
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1259567993156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259567993750
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259567993828
